datetime,temp,humidity,windspeed,solarradiation,CO2
01/01/2025,25.4,72.3,25.9,241.8,440
02/01/2025,25.5,70.9,18.4,190.2,440
03/01/2025,25.1,69.7,24.1,193,400
04/01/2025,24.6,70.3,18.6,209.6,400
05/01/2025,24.7,71.1,18.4,249.5,400
06/01/2025,24.5,71.1,18.4,243.4,400
07/01/2025,25.5,73,14.8,176.6,400
08/01/2025,25.6,75.7,20.5,170.8,396.87
09/01/2025,25.4,70.9,22.3,173.7,393.96
10/01/2025,25.6,73.9,22.3,148.2,391.45
11/01/2025,25.7,77.5,22.3,124.1,389.53
12/01/2025,26,72.9,22.3,178.9,388.32
13/01/2025,26.4,78.9,20.5,137.8,387.91
14/01/2025,25.6,80.2,22.3,139.2,440
15/01/2025,24.9,84.8,22.3,128.2,440
16/01/2025,25.6,74.2,22.3,132.7,440
17/01/2025,25.6,71.1,25.9,209,440
18/01/2025,25.3,72.7,24.2,125.2,440
19/01/2025,25.5,84.3,20.5,70.6,440
20/01/2025,25.9,74.6,22.3,184.7,440
21/01/2025,25.3,69.5,22.3,263.3,440
22/01/2025,25.6,77.8,14.8,147.9,440
23/01/2025,25.9,76.8,22.3,171.5,440
24/01/2025,25.6,71,16.6,225.9,440
25/01/2025,25.6,75.8,18.4,215.5,440
26/01/2025,26.1,70.5,25.9,267.7,440
27/01/2025,24.9,69.9,18.4,271.8,400
28/01/2025,25,70.2,16.6,261.3,400
29/01/2025,25,76.4,22.3,190.9,400
30/01/2025,26.8,75.8,18.4,150.4,400
31/01/2025,27.5,80.1,18.4,196.8,400
01/02/2025,27.3,75.9,18.4,214.9,397.54
02/02/2025,27.4,70.6,18.4,244.4,395.25
03/02/2025,27,68.8,16.6,256.4,393.28
04/02/2025,26.4,64.6,18.4,281,391.76
05/02/2025,26.3,68,22.3,280.5,390.81
06/02/2025,26.2,68.1,24.1,243.3,390.49
07/02/2025,26,68.1,20.5,280.5,440
08/02/2025,26.2,69.2,18.4,263.6,440
09/02/2025,26.7,67,25.9,271.2,440
10/02/2025,26.5,64.9,22.3,269.1,440
11/02/2025,27,63.3,16.6,290,440
12/02/2025,27.4,68.7,18.4,276.2,440
13/02/2025,26.7,65.3,20.5,291.3,440
14/02/2025,26.6,61.1,18.4,296.6,440
15/02/2025,26.3,63.8,24.1,293.2,440
16/02/2025,26.8,64.8,24.1,294.5,440
17/02/2025,27,67.1,22.3,287.7,440
18/02/2025,26.7,64.1,18.4,293.1,440
19/02/2025,26.8,68,18.4,293,440
20/02/2025,27.1,67.8,18.4,292.3,400
21/02/2025,27.3,68.7,20.5,292,400
22/02/2025,27.6,67.6,18.4,288.4,400
23/02/2025,28.1,65.6,24.1,293.3,400
24/02/2025,27.7,65.7,24.1,280.3,400
25/02/2025,26.6,74.3,22.3,236.7,397.5
26/02/2025,27.5,68.9,25.9,232.7,395.18
27/02/2025,28.4,66.6,22.3,228,393.18
28/02/2025,27.9,74.7,25.9,160.6,391.64
01/03/2025,27.7,79.4,27.7,186,390.68
02/03/2025,28.3,75.6,22.3,204.6,390.35
03/03/2025,28.4,72.7,14.8,248.2,440
04/03/2025,28.6,68,18.4,290.2,440
05/03/2025,28.2,64.7,14.8,296.5,440
06/03/2025,29.6,58.9,14.8,302.8,440
07/03/2025,29.6,65.8,13,304.5,440
08/03/2025,29.2,68.9,18.4,289.2,440
09/03/2025,28.3,63.5,20.5,302.8,440
10/03/2025,28.3,63.4,22.3,281.3,440
11/03/2025,26.1,83.1,22.3,68.6,440
12/03/2025,24.4,89.8,16.3,61.3,440
13/03/2025,27.8,75.1,14.8,295.5,440
14/03/2025,28.6,70.6,18.4,286.3,440
15/03/2025,28.8,68.5,22.3,292.3,440
16/03/2025,28.4,73,24.1,267.3,400
17/03/2025,29.8,70.9,18.4,238.4,400
18/03/2025,29.3,69.1,20.5,261.1,400
19/03/2025,29.6,69.7,18.4,270.2,400
